"","id","name","cname","date","variable","aoi","mean"
"66",1,NA,"X_2024.01.06.17.14.01.06.24",2024-01-06 17:14:01,"product/vertical_column_troposphere","AOI_BO_City",23150149273643448
"67",1,NA,"X_2024.01.06.18.14.01.06.24",2024-01-06 18:14:01,"product/vertical_column_troposphere","AOI_BO_City",32381535056122972
"68",1,NA,"X_2024.01.06.19.14.01.06.24",2024-01-06 19:14:01,"product/vertical_column_troposphere","AOI_BO_City",35126086792693912
"69",1,NA,"X_2024.01.06.20.14.01.06.24",2024-01-06 20:14:01,"product/vertical_column_troposphere","AOI_BO_City",10532566146148096
"70",1,NA,"X_2024.01.06.21.14.01.06.24",2024-01-06 21:14:01,"product/vertical_column_troposphere","AOI_BO_City",NA
"71",1,NA,"X_2024.01.06.22.14.01.06.24",2024-01-06 22:14:01,"product/vertical_column_troposphere","AOI_BO_City",NA
"72",1,NA,"X_2024.01.06.22.54.01.06.24",2024-01-06 22:54:01,"product/vertical_column_troposphere","AOI_BO_City",NA
"73",1,NA,"X_2024.01.07.12.55.01.07.24",2024-01-07 12:55:01,"product/vertical_column_troposphere","AOI_BO_City",3245765660367711
"74",1,NA,"X_2024.01.07.13.35.01.07.24",2024-01-07 13:35:01,"product/vertical_column_troposphere","AOI_BO_City",3697350053670882
"75",1,NA,"X_2024.01.07.14.15.01.07.24",2024-01-07 14:15:01,"product/vertical_column_troposphere","AOI_BO_City",4253107138722558
"76",1,NA,"X_2024.01.07.15.15.01.07.24",2024-01-07 15:15:01,"product/vertical_column_troposphere","AOI_BO_City",4200319998109974
"77",1,NA,"X_2024.01.07.16.15.01.07.24",2024-01-07 16:15:01,"product/vertical_column_troposphere","AOI_BO_City",4050599398724646
"78",1,NA,"X_2024.01.07.17.15.01.07.24",2024-01-07 17:15:01,"product/vertical_column_troposphere","AOI_BO_City",4445922013863083
"79",1,NA,"X_2024.01.07.18.15.01.07.24",2024-01-07 18:15:01,"product/vertical_column_troposphere","AOI_BO_City",3902963529475906
"80",1,NA,"X_2024.01.07.19.15.01.07.24",2024-01-07 19:15:01,"product/vertical_column_troposphere","AOI_BO_City",4343448725715811
"81",1,NA,"X_2024.01.07.20.15.01.07.24",2024-01-07 20:15:01,"product/vertical_column_troposphere","AOI_BO_City",3808847737390468
"82",1,NA,"X_2024.01.07.21.15.01.07.24",2024-01-07 21:15:01,"product/vertical_column_troposphere","AOI_BO_City",NA
"83",1,NA,"X_2024.01.07.22.15.01.07.24",2024-01-07 22:15:01,"product/vertical_column_troposphere","AOI_BO_City",NA
"84",1,NA,"X_2024.01.07.22.55.01.07.24",2024-01-07 22:55:01,"product/vertical_column_troposphere","AOI_BO_City",NA
"85",1,NA,"X_2024.01.08.12.55.01.08.24",2024-01-08 12:55:01,"product/vertical_column_troposphere","AOI_BO_City",9757156115409982
"86",1,NA,"X_2024.01.08.13.35.01.08.24",2024-01-08 13:35:01,"product/vertical_column_troposphere","AOI_BO_City",7113112678203440
"87",1,NA,"X_2024.01.08.14.15.01.08.24",2024-01-08 14:15:01,"product/vertical_column_troposphere","AOI_BO_City",5190408470172103
"88",1,NA,"X_2024.01.08.15.15.01.08.24",2024-01-08 15:15:01,"product/vertical_column_troposphere","AOI_BO_City",4541882553151109
"89",1,NA,"X_2024.01.08.16.15.01.08.24",2024-01-08 16:15:01,"product/vertical_column_troposphere","AOI_BO_City",3625614866223272
"90",1,NA,"X_2024.01.08.17.15.01.08.24",2024-01-08 17:15:01,"product/vertical_column_troposphere","AOI_BO_City",3250973255525389
"91",1,NA,"X_2024.01.08.18.15.01.08.24",2024-01-08 18:15:01,"product/vertical_column_troposphere","AOI_BO_City",3725215298818808
"92",1,NA,"X_2024.01.08.19.15.01.08.24",2024-01-08 19:15:01,"product/vertical_column_troposphere","AOI_BO_City",4168520796413492
"93",1,NA,"X_2024.01.08.20.15.01.08.24",2024-01-08 20:15:01,"product/vertical_column_troposphere","AOI_BO_City",5682630199476270
"94",1,NA,"X_2024.01.08.21.15.01.08.24",2024-01-08 21:15:01,"product/vertical_column_troposphere","AOI_BO_City",NA
"95",1,NA,"X_2024.01.08.22.15.01.08.24",2024-01-08 22:15:01,"product/vertical_column_troposphere","AOI_BO_City",NA
"96",1,NA,"X_2024.01.08.22.55.01.08.24",2024-01-08 22:55:01,"product/vertical_column_troposphere","AOI_BO_City",NA
"97",1,NA,"X_2024.01.09.12.55.01.09.24",2024-01-09 12:55:01,"product/vertical_column_troposphere","AOI_BO_City",13544447608520654
"98",1,NA,"X_2024.01.09.13.35.01.09.24",2024-01-09 13:35:01,"product/vertical_column_troposphere","AOI_BO_City",11364811057103248
"99",1,NA,"X_2024.01.09.14.16.01.09.24",2024-01-09 14:16:01,"product/vertical_column_troposphere","AOI_BO_City",6348032381397275
"100",1,NA,"X_2024.01.09.15.16.01.09.24",2024-01-09 15:16:01,"product/vertical_column_troposphere","AOI_BO_City",6261795886306410
"101",1,NA,"X_2024.01.09.16.16.01.09.24",2024-01-09 16:16:01,"product/vertical_column_troposphere","AOI_BO_City",4332600747768834
"102",1,NA,"X_2024.01.09.17.16.01.09.24",2024-01-09 17:16:01,"product/vertical_column_troposphere","AOI_BO_City",3890224187474240
"103",1,NA,"X_2024.01.09.18.16.01.09.24",2024-01-09 18:16:01,"product/vertical_column_troposphere","AOI_BO_City",5663086520406971
"104",1,NA,"X_2024.01.09.19.16.01.09.24",2024-01-09 19:16:01,"product/vertical_column_troposphere","AOI_BO_City",2989231902039112
"105",1,NA,"X_2024.01.09.20.16.01.09.24",2024-01-09 20:16:01,"product/vertical_column_troposphere","AOI_BO_City",3228607028412238
"106",1,NA,"X_2024.01.09.21.16.01.09.24",2024-01-09 21:16:01,"product/vertical_column_troposphere","AOI_BO_City",NA
"107",1,NA,"X_2024.01.09.22.16.01.09.24",2024-01-09 22:16:01,"product/vertical_column_troposphere","AOI_BO_City",NA
"108",1,NA,"X_2024.01.09.22.56.01.09.24",2024-01-09 22:56:01,"product/vertical_column_troposphere","AOI_BO_City",NA
"109",1,NA,"X_2024.01.10.12.56.01.10.24",2024-01-10 12:56:01,"product/vertical_column_troposphere","AOI_BO_City",1838474792168165
"110",1,NA,"X_2024.01.10.13.36.01.10.24",2024-01-10 13:36:01,"product/vertical_column_troposphere","AOI_BO_City",4204023756780480
"111",1,NA,"X_2024.01.10.14.16.01.10.24",2024-01-10 14:16:01,"product/vertical_column_troposphere","AOI_BO_City",4338672759372860
"112",1,NA,"X_2024.01.10.15.16.01.10.24",2024-01-10 15:16:01,"product/vertical_column_troposphere","AOI_BO_City",2021021563497501
"113",1,NA,"X_2024.01.10.16.16.01.10.24",2024-01-10 16:16:01,"product/vertical_column_troposphere","AOI_BO_City",1596341968045760
"114",1,NA,"X_2024.01.10.17.16.01.10.24",2024-01-10 17:16:01,"product/vertical_column_troposphere","AOI_BO_City",2646860929175570
"115",1,NA,"X_2024.01.10.18.16.01.10.24",2024-01-10 18:16:01,"product/vertical_column_troposphere","AOI_BO_City",11425075573563094
"116",1,NA,"X_2024.01.10.19.16.01.10.24",2024-01-10 19:16:01,"product/vertical_column_troposphere","AOI_BO_City",1212717305739922
"117",1,NA,"X_2024.01.10.20.16.01.10.24",2024-01-10 20:16:01,"product/vertical_column_troposphere","AOI_BO_City",1858460939114163
"118",1,NA,"X_2024.01.10.21.16.01.10.24",2024-01-10 21:16:01,"product/vertical_column_troposphere","AOI_BO_City",NA
"119",1,NA,"X_2024.01.10.22.16.01.10.24",2024-01-10 22:16:01,"product/vertical_column_troposphere","AOI_BO_City",NA
"120",1,NA,"X_2024.01.10.22.56.01.10.24",2024-01-10 22:56:01,"product/vertical_column_troposphere","AOI_BO_City",NA
"121",1,NA,"X_2024.01.11.12.56.01.11.24",2024-01-11 12:56:01,"product/vertical_column_troposphere","AOI_BO_City",5410204873853142
"122",1,NA,"X_2024.01.11.13.36.01.11.24",2024-01-11 13:36:01,"product/vertical_column_troposphere","AOI_BO_City",3497052901007780
"123",1,NA,"X_2024.01.11.14.16.01.11.24",2024-01-11 14:16:01,"product/vertical_column_troposphere","AOI_BO_City",2790912487712090
"124",1,NA,"X_2024.01.11.15.16.01.11.24",2024-01-11 15:16:01,"product/vertical_column_troposphere","AOI_BO_City",1830408515919654
"125",1,NA,"X_2024.01.11.16.16.01.11.24",2024-01-11 16:16:01,"product/vertical_column_troposphere","AOI_BO_City",1130664682477743
"126",1,NA,"X_2024.01.11.17.16.01.11.24",2024-01-11 17:16:01,"product/vertical_column_troposphere","AOI_BO_City",1476236047732081
"127",1,NA,"X_2024.01.11.18.16.01.11.24",2024-01-11 18:16:01,"product/vertical_column_troposphere","AOI_BO_City",4362010534139896
"128",1,NA,"X_2024.01.11.19.16.01.11.24",2024-01-11 19:16:01,"product/vertical_column_troposphere","AOI_BO_City",7763741115768766
"129",1,NA,"X_2024.01.11.20.16.01.11.24",2024-01-11 20:16:01,"product/vertical_column_troposphere","AOI_BO_City",4994590002158051
"130",1,NA,"X_2024.01.11.21.16.01.11.24",2024-01-11 21:16:01,"product/vertical_column_troposphere","AOI_BO_City",NA
"131",1,NA,"X_2024.01.11.22.16.01.11.24",2024-01-11 22:16:01,"product/vertical_column_troposphere","AOI_BO_City",NA
"132",1,NA,"X_2024.01.11.22.56.01.11.24",2024-01-11 22:56:01,"product/vertical_column_troposphere","AOI_BO_City",NA
"133",1,NA,"X_2024.01.12.12.57.01.12.24",2024-01-12 12:57:01,"product/vertical_column_troposphere","AOI_BO_City",9968343036176152
"134",1,NA,"X_2024.01.12.13.37.01.12.24",2024-01-12 13:37:01,"product/vertical_column_troposphere","AOI_BO_City",9395790611639392
"135",1,NA,"X_2024.01.12.14.17.01.12.24",2024-01-12 14:17:01,"product/vertical_column_troposphere","AOI_BO_City",8602451296250499
"136",1,NA,"X_2024.01.12.15.17.01.12.24",2024-01-12 15:17:01,"product/vertical_column_troposphere","AOI_BO_City",9321486888659958
"137",1,NA,"X_2024.01.12.16.17.01.12.24",2024-01-12 16:17:01,"product/vertical_column_troposphere","AOI_BO_City",7606580892451442
"138",1,NA,"X_2024.01.12.17.17.01.12.24",2024-01-12 17:17:01,"product/vertical_column_troposphere","AOI_BO_City",5761885535234116
"139",1,NA,"X_2024.01.12.18.17.01.12.24",2024-01-12 18:17:01,"product/vertical_column_troposphere","AOI_BO_City",5599244804501927
"140",1,NA,"X_2024.01.12.19.17.01.12.24",2024-01-12 19:17:01,"product/vertical_column_troposphere","AOI_BO_City",6408040593059172
"141",1,NA,"X_2024.01.12.20.17.01.12.24",2024-01-12 20:17:01,"product/vertical_column_troposphere","AOI_BO_City",8578479777657152
"142",1,NA,"X_2024.01.12.21.17.01.12.24",2024-01-12 21:17:01,"product/vertical_column_troposphere","AOI_BO_City",NA
"143",1,NA,"X_2024.01.12.22.17.01.12.24",2024-01-12 22:17:01,"product/vertical_column_troposphere","AOI_BO_City",NA
"144",1,NA,"X_2024.01.12.22.57.01.12.24",2024-01-12 22:57:01,"product/vertical_column_troposphere","AOI_BO_City",NA
"145",1,NA,"X_2024.01.13.12.57.01.13.24",2024-01-13 12:57:01,"product/vertical_column_troposphere","AOI_BO_City",2021077057495981
"146",1,NA,"X_2024.01.13.13.37.01.13.24",2024-01-13 13:37:01,"product/vertical_column_troposphere","AOI_BO_City",2222407152275439
"147",1,NA,"X_2024.01.13.14.17.01.13.24",2024-01-13 14:17:01,"product/vertical_column_troposphere","AOI_BO_City",3476476278663427
"148",1,NA,"X_2024.01.13.15.17.01.13.24",2024-01-13 15:17:01,"product/vertical_column_troposphere","AOI_BO_City",5381024440102107
"149",1,NA,"X_2024.01.13.16.17.01.13.24",2024-01-13 16:17:01,"product/vertical_column_troposphere","AOI_BO_City",1258111138163001
"150",1,NA,"X_2024.01.13.17.17.01.13.24",2024-01-13 17:17:01,"product/vertical_column_troposphere","AOI_BO_City",2596934321159194
"151",1,NA,"X_2024.01.13.18.17.01.13.24",2024-01-13 18:17:01,"product/vertical_column_troposphere","AOI_BO_City",999061083825982
"152",1,NA,"X_2024.01.13.19.17.01.13.24",2024-01-13 19:17:01,"product/vertical_column_troposphere","AOI_BO_City",2119825699853564
"153",1,NA,"X_2024.01.13.20.17.01.13.24",2024-01-13 20:17:01,"product/vertical_column_troposphere","AOI_BO_City",17318548239989308
"154",1,NA,"X_2024.01.13.21.17.01.13.24",2024-01-13 21:17:01,"product/vertical_column_troposphere","AOI_BO_City",NA
"155",1,NA,"X_2024.01.13.22.17.01.13.24",2024-01-13 22:17:01,"product/vertical_column_troposphere","AOI_BO_City",NA
"156",1,NA,"X_2024.01.13.22.57.01.13.24",2024-01-13 22:57:01,"product/vertical_column_troposphere","AOI_BO_City",NA
"157",1,NA,"X_2024.01.14.12.57.01.14.24",2024-01-14 12:57:01,"product/vertical_column_troposphere","AOI_BO_City",7559454616700173
"158",1,NA,"X_2024.01.14.13.37.01.14.24",2024-01-14 13:37:01,"product/vertical_column_troposphere","AOI_BO_City",7681356324175345
"159",1,NA,"X_2024.01.14.14.18.01.14.24",2024-01-14 14:18:01,"product/vertical_column_troposphere","AOI_BO_City",6631626291045573
"160",1,NA,"X_2024.01.14.15.18.01.14.24",2024-01-14 15:18:01,"product/vertical_column_troposphere","AOI_BO_City",5235246601100444
"161",1,NA,"X_2024.01.14.16.18.01.14.24",2024-01-14 16:18:01,"product/vertical_column_troposphere","AOI_BO_City",7731943522862268
"162",1,NA,"X_2024.01.14.17.18.01.14.24",2024-01-14 17:18:01,"product/vertical_column_troposphere","AOI_BO_City",8308080183166809
"163",1,NA,"X_2024.01.14.18.18.01.14.24",2024-01-14 18:18:01,"product/vertical_column_troposphere","AOI_BO_City",13836513245007288
"164",1,NA,"X_2024.01.14.19.18.01.14.24",2024-01-14 19:18:01,"product/vertical_column_troposphere","AOI_BO_City",33107067412021744
